Abiotrophia defectiva
Achromobacter piechaudii
Achromobacter xylosoxidans
Acidaminococcus fermentans
Acinetobacter baumannii
Acinetobacter calcoaceticus
Acinetobacter haemolyticus
Acinetobacter johnsonii
Acinetobacter junii
Acinetobacter lwoffii
Acinetobacter radioresistens
Actinobacillus actinomycetemcomitans
Actinobacillus equuli
Actinobacillus hominis
Actinobacillus lignieresii
Actinobacillus pleuropneumoniae
Actinobacillus suis
Actinobacillus ureae
Actinomyces georgiae
Actinomyces gerencseriae
Actinomyces israelii
Actinomyces meyeri
Actinomyces naeslundii
Actinomyces neuii
Actinomyces odontolyticus
Actinomyces radingae
Actinomyces turicensis
Aerococcus viridans
Aeromonas caviae
Aeromonas hydrophila
Aeromonas sobria
Aeromonas veronii
Alcaligenes odorans
Amycolatopsis orientalis
Anaerococcus lactolyticus
Anaerococcus prevotii
Anaerococcus vaginalis
Arcanobacterium bernardiae
Arcanobacterium heamolyticum
Arcanobacterium pyogenes
Arcobacter butzleri
Arcobacter cryaerophilus
Anaplasma phagocytophila
Bacillus anthracis
Bacillus cereus
Bacillus circulans
Bacillus coagulans
Bacillus licheniformis
Bacillus mycoides
Bacillus pumilus
Bacillus sphaericus
Bacillus subtilis
Bacillus thuringiensis
Bacteroides caccae
Bacteroides distasonis
Bacteroides eggerthii
Bacteroides forsythus
Bacteroides fragilis
Bacteroides galacturonicus
Bacteroides merdae
Bacteroides ovatus
Bacteroides pectinophilus
Bacteroides splanchnicus
Bacteroides stercoris
Bacteroides thetaiotaomicron
Bacteroides uniformis
Bacteroides ureolyticus
Bacteroides vulgatus
Bartonella bacilliformis
Bartonella elizabethae
Bartonella henselae
Bartonella quintana
Bergeyella zoohelcum
Bifidobacterium dentium
Bilophila wadsworthia
Bordetella avium
Bordetella bronchiseptica
Bordetella parapertussis
Bordetella pertussis
Borrelia brasiliensis
Borrelia burgdorferi
Borrelia caucasica
Borrelia crocidurae
Borrelia duttonii
Borrelia hermsii
Borrelia hispanica
Borrelia latyschewii
Borrelia mazzottii
Borrelia parkeri
Borrelia persica
Borrelia recurrentis
Borrelia turicatae
Borrelia venezuelensis
Brevibacillus brevis
Brevundimonas diminuta
Brevundimonas vesicularis
Brucella melitensis
Burkholderia cepacia
Burkholderia mallei
Burkholderia pseudomallei
Campylobacter coli
Campylobacter concisus
Campylobacter curvus
Campylobacter fetus
Campylobacter gracilis
Campylobacter hyointestinalis
Campylobacter jejuni
Campylobacter lari
Campylobacter rectus
Campylobacter sputorum
Campylobacter upsaliensis
Capnocytophaga canimorsus
Capnocytophaga cynodegmi
Capnocytophaga gingivalis
Capnocytophaga ochracea
Capnocytophaga sputigena
Cardiobacterium hominis
Cedecea davisae
Cedecea lapagei
Cedecea neteri
Cellulomonas cellulans
Cellulomonas turbata
Centipeda periodontii
Chlamydia trachomatis
Chlamydophila pneumoniae
Chlamydophila psittaci
Chromobacterium violaceum
Chryseobacterium balustinum
Chryseobacterium meningosepticum
Citrobacter amalonaticus
Citrobacter braakii
Citrobacter farmeri
Citrobacter freundii
Citrobacter koseri
Citrobacter rodentium
Citrobacter sedlakii
Citrobacter werkmanii
Citrobacter youngae
Clostridium baratii
Clostridium bifermentans
Clostridium botulinum
Clostridium butyricum
Clostridium chauvoei
Clostridium difficile
Clostridium fallax
Clostridium histolyticum
Clostridium novyi
Clostridium perfringens
Clostridium ramosum
Clostridium septicum
Clostridium sordellii
Clostridium sporogenes
Clostridium tertium
Clostridium tetani
Collinsella aerofaciens
Comamonas testosteroni
Corynebacterium afermentans
Corynebacterium amycolatum
Corynebacterium argentoratense
Corynebacterium bovis
Corynebacterium diphtheriae
Corynebacterium jeikeium
Corynebacterium kutscheri
Corynebacterium macginleyi
Corynebacterium minutissimum
Corynebacterium propinquum
Corynebacterium pseudodiphthericum
Corynebacterium pseudotuberculosis
Corynebacterium striatum
Corynebacterium ulcerans
Corynebacterium urealyticum
Corynebacterium xerosis
Coxiella burnetii
Delftia acidovorans
Dermatophilus congolensis
Dichelobacter nodosus
Edwardsiella hoshinae
Edwardsiella tarda
Eggerthella lenta
Ehrlichia chaffeensis
Ehrlichia ewingii
Eikenella corrodens
Enterobacter aerogenes
Enterobacter amnigenus
Enterobacter asburiae
Enterobacter cancerogenus
Enterobacter cloacae
Enterobacter gergoviae
Enterobacter hormaechei
Enterobacter sakazakii
Enterococcus avium
Enterococcus casseliflavus
Enterococcus durans
Enterococcus faecalis
Enterococcus faecium
Enterococcus flavescens
Enterococcus gallinarum
Enterococcus hirae
Enterococcus mundtii
Enterococcus raffinosus
Erysipelothrix rhusiopathiae
Escherichia coli
Eubacterium brachy
Eubacterium combesii
Eubacterium contortum
Eubacterium cylindroides
Eubacterium limosum
Eubacterium moniliforme
Eubacterium multiforme
Eubacterium nodatum
Eubacterium rectale
Eubacterium saburreum
Eubacterium saphenum
Eubacterium sulci
Eubacterium tenue
Ewingella americana
Fibrobacter intestinalis
Filifactor alocis
Finegoldia magna
Fluoribacter bozemanae
Fluoribacter dumoffii
Fluoribacter gormanii
Francisella tularensis
Fusobacterium mortiferum
Fusobacterium necrophorum
Fusobacterium nucleatum
Fusobacterium periodonticum
Fusobacterium ulcerans
Fusobacterium varium
Gardnerella vaginalis
Gemella morbillorum
Gordonia amarae
Gordonia bronchialis
Gordonia rubropertincta
Gordonia sputi
Gordonia terrae
Granulicatella adjacens
Haemophilus aphrophilus
Haemophilus ducreyi
Haemophilus haemolyticus
Haemophilus influenzae
Haemophilus parahaemolyticus
Haemophilus parainfluenzae
Haemophilus paraphrophilus
Haemophilus segnis
Hafnia alvei
Helicobacter cinaedi
Helicobacter fennelliae
Helicobacter heilmannii
Helicobacter pullorum
Helicobacter pylori
Kingella denitrificans
Kingella kingae
Klebsiella granulomatis
Klebsiella ornithinolytica
Klebsiella oxytoca
Klebsiella pneumoniae
Kluyvera ascorbata
Kluyvera cryocrescens
Lactobacillus sp.
Legionella anisa
Legionella birminghamensis
Legionella cherrii
Legionella cincinnatiensis
Legionella feeleii
Legionella hackeliae
Legionella jordanis
Legionella lansingensis
Legionella longbeachae
Legionella oakridgensis
Legionella pneumophila
Legionella rubrilucens
Legionella sainthelensi
Legionella tucsonensis
Legionella wadsworthii
Leifsonia aquatica
Leptospira borgpetersenii
Leptospira inadai
Leptospira interrogans
Leptospira kirschneri
Leptospira meyeri
Leptospira noguchii
Leptospira santarosai
Leptospira weilii
Leptotrichia buccalis
Listeria ivanovii
Listeria monocytogenes
Listeria seeligeri
Listeria welshimeri
Mannheimia haemolytica
Megamonas hypermegale
Megasphaera sp.
Micromonas micros
Mogibacterium timidum
Moraxella (Branhamella) catarrhalis
Moraxella (Branhamella) caviae
Moraxella (Branhamella) cuniculi
Moraxella (Branhamella) ovis
Moraxella (Moxarella) atlantae
Moraxella (Moxarella) bovis
Moraxella (Moxarella) lacunata
